domain,month,active_users_30d,licensed_seats,feature_adoption_score
openzeppelin.com,2025-01-01,420,500,0.78
aave.com,2025-01-01,280,380,0.72
zeropath.com,2025-01-01,128,160,0.65
zealynx.io,2025-01-01,72,95,0.68
crypto.com,2025-01-01,1650,2100,0.88
kraken.com,2025-01-01,720,920,0.79
binance.com,2025-01-01,2350,2800,0.85
openzeppelin.com,2024-12-01,400,500,0.76
aave.com,2024-12-01,265,380,0.70
zeropath.com,2024-12-01,122,160,0.63
zealynx.io,2024-12-01,68,95,0.66
crypto.com,2024-12-01,1600,2100,0.86
kraken.com,2024-12-01,700,920,0.77
binance.com,2024-12-01,2280,2800,0.83
